Employee_ID,Dept,Attrition_Prob,Risk,Engagement,Role,Skill_Gap,Gap_Severity,Recommendation
230,IT,0.72,LOW,84,ML Engineer,Machine Learning,1,"Learn Machine Learning -- ""Machine Learning Foundations"""
231,Research & Development,0.955,HIGH,70,MLOps Engineer,(none),0,No critical skill gaps -- keep up ongoing development
232,Research & Development,0.98,HIGH,78,Software Engineer,Docker,1,"Learn Docker -- ""Containerization Fundamentals with Docker"""
233,Human Resources,0.905,MEDIUM,56,Research Scientist,"AWS, Research Methods",3,"Learn Research Methods -- ""Research Methods & Experimental Design"""
234,IT,0.92,MEDIUM,85,ML Engineer,PyTorch,1,"Learn PyTorch -- ""Deep Learning with PyTorch"""
235,Research & Development,0.96,HIGH,83,HR Executive,"Communication, HR Compliance",2,"Learn Communication -- ""Effective Workplace Communication"""
236,Research & Development,0.795,LOW,59,Sales Executive,"CRM Tools, Excel, Negotiation, Salesforce",6,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
237,Sales,0.17,LOW,82,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
238,IT,0.98,HIGH,44,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
239,Sales,0.89,MEDIUM,61,Data Analyst,"SQL, Statistics, Tableau",4,"Learn Statistics -- ""Applied Statistics for Business"""
240,IT,0.815,LOW,50,Research Scientist,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
241,Research & Development,0.84,LOW,67,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
242,Research & Development,0.665,LOW,50,Research Scientist,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
243,Research & Development,0.485,LOW,85,Software Engineer,"Docker, Java, System Design",4,"Learn System Design -- ""System Design for Scalable Applications"""
244,Research & Development,0.98,HIGH,76,MLOps Engineer,"CI/CD, Docker",3,"Learn Docker -- ""Containerization Fundamentals with Docker"""
245,Sales,0.205,LOW,78,Software Engineer,Docker,1,"Learn Docker -- ""Containerization Fundamentals with Docker"""
246,IT,0.135,LOW,84,Data Analyst,Tableau,1,"Learn Tableau -- ""Data Visualization with Tableau"""
247,Sales,0.955,HIGH,72,Software Engineer,Docker,1,"Learn Docker -- ""Containerization Fundamentals with Docker"""
248,IT,0.875,LOW,72,HR Executive,"Communication, Excel, Workday",4,"Learn Workday -- ""Workday HCM Fundamentals"""
249,Sales,0.91,MEDIUM,64,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
250,IT,0.23,LOW,72,HR Executive,HR Compliance,1,"Learn HR Compliance -- ""HR Compliance Essentials"""
251,Sales,0.35,LOW,75,Data Analyst,SQL,1,"Learn SQL -- ""Practical SQL for Analysts"""
252,Sales,0.935,MEDIUM,64,Sales Executive,Excel,1,"Learn Excel -- ""Advanced Excel for Business Analytics"""
253,Sales,0.225,LOW,58,Software Engineer,"AWS, Python, System Design",5,"Learn Python -- ""Python for Data & ML Practitioners"""
254,Research & Development,0.155,LOW,72,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
255,Research & Development,0.9,MEDIUM,63,Sales Executive,"Communication, Excel, Salesforce",4,"Learn Salesforce -- ""Salesforce Administration Essentials"""
256,Human Resources,0.925,MEDIUM,58,Data Analyst,"Data Visualization, Excel",3,"Learn Excel -- ""Advanced Excel for Business Analytics"""
257,IT,0.825,LOW,100,HR Executive,"Communication, HR Compliance",2,"Learn Communication -- ""Effective Workplace Communication"""
258,Sales,0.865,LOW,82,Software Engineer,Docker,1,"Learn Docker -- ""Containerization Fundamentals with Docker"""
259,Research & Development,0.93,MEDIUM,83,Research Scientist,"AWS, Python",3,"Learn Python -- ""Python for Data & ML Practitioners"""
260,Research & Development,0.855,LOW,94,Sales Executive,"Communication, Excel",2,"Learn Communication -- ""Effective Workplace Communication"""
261,Sales,0.985,HIGH,84,Data Analyst,"Data Visualization, Statistics, Tableau",4,"Learn Statistics -- ""Applied Statistics for Business"""
262,Research & Development,0.88,LOW,79,Research Scientist,"Python, Research Methods",4,"Learn Python -- ""Python for Data & ML Practitioners"""
263,IT,0.215,LOW,72,MLOps Engineer,"MLOps, Terraform",3,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
264,Research & Development,0.805,LOW,73,Sales Executive,"CRM Tools, Excel, Negotiation",4,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
265,Sales,0.96,HIGH,72,Data Analyst,"Excel, SQL",3,"Learn Excel -- ""Advanced Excel for Business Analytics"""
266,Human Resources,0.845,LOW,73,MLOps Engineer,CI/CD,1,"Learn CI/CD -- ""CI/CD Pipelines for Engineers"""
267,Research & Development,0.95,HIGH,75,Sales Executive,"Communication, Excel, Negotiation",4,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
268,IT,0.985,HIGH,79,HR Executive,"Conflict Resolution, HR Compliance, Workday",4,"Learn Workday -- ""Workday HCM Fundamentals"""
269,Sales,0.56,LOW,49,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
270,Research & Development,0.935,MEDIUM,68,Research Scientist,"AWS, Research Methods",3,"Learn Research Methods -- ""Research Methods & Experimental Design"""
271,IT,0.91,MEDIUM,62,HR Executive,Conflict Resolution,1,"Learn Conflict Resolution -- ""Conflict Resolution in the Workplace"""
272,IT,0.145,LOW,76,MLOps Engineer,"CI/CD, Terraform",2,"Learn CI/CD -- ""CI/CD Pipelines for Engineers"""
273,Human Resources,0.89,MEDIUM,79,ML Engineer,"Docker, MLOps, Machine Learning, Statistics",6,"Learn Docker -- ""Containerization Fundamentals with Docker"""
274,IT,0.145,LOW,75,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
275,Research & Development,0.855,LOW,73,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
276,IT,0.945,HIGH,60,MLOps Engineer,"Kubernetes, Terraform",3,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
277,IT,0.85,LOW,56,Research Scientist,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
278,Research & Development,0.91,MEDIUM,53,MLOps Engineer,"AWS, Docker",3,"Learn Docker -- ""Containerization Fundamentals with Docker"""
279,Research & Development,0.3,LOW,55,Research Scientist,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
280,Human Resources,0.965,HIGH,61,HR Executive,HR Compliance,1,"Learn HR Compliance -- ""HR Compliance Essentials"""
281,Research & Development,0.965,HIGH,54,Data Analyst,Tableau,1,"Learn Tableau -- ""Data Visualization with Tableau"""
282,IT,0.915,MEDIUM,81,ML Engineer,PyTorch,1,"Learn PyTorch -- ""Deep Learning with PyTorch"""
283,Human Resources,0.845,LOW,71,Data Analyst,Excel,2,"Learn Excel -- ""Advanced Excel for Business Analytics"""
284,Research & Development,0.985,HIGH,89,MLOps Engineer,"CI/CD, Cloud, MLOps, Terraform",5,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
285,IT,0.845,LOW,59,Data Analyst,"Excel, SQL, Statistics",5,"Learn Excel -- ""Advanced Excel for Business Analytics"""
286,Human Resources,0.97,HIGH,53,HR Executive,Excel,1,"Learn Excel -- ""Advanced Excel for Business Analytics"""
287,Sales,0.77,LOW,63,Software Engineer,"Java, System Design",3,"Learn System Design -- ""System Design for Scalable Applications"""
288,Sales,0.175,LOW,46,Research Scientist,"AWS, Statistics",3,"Learn Statistics -- ""Applied Statistics for Business"""
289,Research & Development,0.885,MEDIUM,68,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
290,Sales,0.77,LOW,71,HR Executive,Conflict Resolution,1,"Learn Conflict Resolution -- ""Conflict Resolution in the Workplace"""
291,IT,0.935,MEDIUM,69,MLOps Engineer,"AWS, Docker, Kubernetes",5,"Learn Docker -- ""Containerization Fundamentals with Docker"""
292,Research & Development,0.95,HIGH,58,Software Engineer,Docker,1,"Learn Docker -- ""Containerization Fundamentals with Docker"""
293,IT,0.28,LOW,51,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
294,Research & Development,0.94,MEDIUM,83,Research Scientist,AWS,1,"Learn AWS -- ""Cloud Infrastructure on AWS"""
295,Research & Development,0.715,LOW,85,MLOps Engineer,"CI/CD, MLOps",3,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
296,Sales,0.945,HIGH,75,Software Engineer,"Docker, Kubernetes",3,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
297,Sales,0.98,HIGH,94,HR Executive,"Conflict Resolution, Excel, HR Compliance",3,"Learn Conflict Resolution -- ""Conflict Resolution in the Workplace"""
298,Research & Development,0.9,MEDIUM,65,Data Analyst,"Data Visualization, Excel, Tableau",4,"Learn Excel -- ""Advanced Excel for Business Analytics"""
299,Research & Development,0.84,LOW,55,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
300,IT,0.78,LOW,53,HR Executive,"Conflict Resolution, Workday",3,"Learn Workday -- ""Workday HCM Fundamentals"""
301,Human Resources,0.255,LOW,50,Sales Executive,Excel,1,"Learn Excel -- ""Advanced Excel for Business Analytics"""
302,Human Resources,0.835,LOW,62,HR Executive,"Excel, HR Compliance, Workday",4,"Learn Workday -- ""Workday HCM Fundamentals"""
303,Research & Development,0.275,LOW,62,HR Executive,"Communication, Conflict Resolution",2,"Learn Communication -- ""Effective Workplace Communication"""
304,IT,0.575,LOW,71,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
305,Research & Development,0.885,MEDIUM,95,ML Engineer,"AWS, MLOps, Statistics",4,"Learn Statistics -- ""Applied Statistics for Business"""
306,Sales,0.25,LOW,54,ML Engineer,"Docker, MLOps, Machine Learning",4,"Learn Docker -- ""Containerization Fundamentals with Docker"""
307,Research & Development,0.7,LOW,87,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
308,Sales,0.935,MEDIUM,78,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
309,Sales,0.35,LOW,61,HR Executive,Conflict Resolution,1,"Learn Conflict Resolution -- ""Conflict Resolution in the Workplace"""
310,Sales,0.95,HIGH,79,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
311,Human Resources,0.24,LOW,77,MLOps Engineer,"Kubernetes, MLOps, Terraform",5,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
312,Sales,0.8,LOW,48,MLOps Engineer,"Docker, MLOps",4,"Learn Docker -- ""Containerization Fundamentals with Docker"""
313,IT,0.945,HIGH,54,Data Analyst,"Excel, SQL",3,"Learn Excel -- ""Advanced Excel for Business Analytics"""
314,IT,0.925,MEDIUM,66,Sales Executive,Salesforce,2,"Learn Salesforce -- ""Salesforce Administration Essentials"""
315,IT,0.105,LOW,87,ML Engineer,"MLOps, Machine Learning, Statistics",4,"Learn Statistics -- ""Applied Statistics for Business"""
316,IT,0.92,MEDIUM,88,Research Scientist,"AWS, Statistics",3,"Learn Statistics -- ""Applied Statistics for Business"""
317,Research & Development,0.87,LOW,46,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
318,Research & Development,0.34,LOW,93,Research Scientist,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
319,IT,0.105,LOW,85,Software Engineer,"Kubernetes, Python",4,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
320,Sales,0.96,HIGH,67,Sales Executive,"CRM Tools, Negotiation",3,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
321,Sales,0.9,MEDIUM,57,HR Executive,"Conflict Resolution, HR Compliance, Workday",4,"Learn Workday -- ""Workday HCM Fundamentals"""
322,Research & Development,0.9,MEDIUM,66,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
323,Research & Development,0.865,LOW,71,MLOps Engineer,(none),0,No critical skill gaps -- keep up ongoing development
324,Research & Development,0.875,LOW,61,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
325,IT,0.92,MEDIUM,69,Software Engineer,"Docker, Java, Python",4,"Learn Python -- ""Python for Data & ML Practitioners"""
326,Research & Development,0.245,LOW,42,Data Analyst,"Data Visualization, Excel",3,"Learn Excel -- ""Advanced Excel for Business Analytics"""
327,Research & Development,0.985,HIGH,72,ML Engineer,"AWS, MLOps, Machine Learning",3,"Learn AWS -- ""Cloud Infrastructure on AWS"""
328,Research & Development,0.265,LOW,57,Data Analyst,"Excel, Tableau",3,"Learn Excel -- ""Advanced Excel for Business Analytics"""
329,Research & Development,0.285,LOW,70,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
330,Research & Development,0.925,MEDIUM,69,Research Scientist,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
331,Sales,0.875,LOW,67,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
332,Sales,0.875,LOW,31,Research Scientist,"AWS, Research Methods, Statistics",5,"Learn Research Methods -- ""Research Methods & Experimental Design"""
333,Sales,0.865,LOW,91,Software Engineer,Java,1,"Learn Java -- ""Java for Backend Engineers"""
334,Research & Development,0.945,HIGH,90,Sales Executive,Excel,1,"Learn Excel -- ""Advanced Excel for Business Analytics"""
335,Human Resources,0.97,HIGH,63,ML Engineer,"Docker, MLOps",3,"Learn Docker -- ""Containerization Fundamentals with Docker"""
336,Research & Development,0.175,LOW,70,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
337,IT,0.08,LOW,64,MLOps Engineer,"AWS, Cloud, Docker",4,"Learn Docker -- ""Containerization Fundamentals with Docker"""
338,Research & Development,0.25,LOW,90,Software Engineer,"Python, System Design",4,"Learn Python -- ""Python for Data & ML Practitioners"""
339,Research & Development,0.965,HIGH,54,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
340,Research & Development,0.515,LOW,51,HR Executive,"Communication, HR Compliance",2,"Learn Communication -- ""Effective Workplace Communication"""
341,Research & Development,0.955,HIGH,67,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
342,IT,0.97,HIGH,42,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
343,IT,0.71,LOW,64,Data Analyst,SQL,1,"Learn SQL -- ""Practical SQL for Analysts"""
344,Sales,0.725,LOW,90,HR Executive,"Communication, Excel, HR Compliance",3,"Learn Communication -- ""Effective Workplace Communication"""
345,IT,0.98,HIGH,38,Software Engineer,"AWS, Docker",2,"Learn AWS -- ""Cloud Infrastructure on AWS"""
346,IT,0.795,LOW,54,Data Analyst,"SQL, Statistics, Tableau",4,"Learn Statistics -- ""Applied Statistics for Business"""
347,IT,0.235,LOW,64,Research Scientist,Research Methods,2,"Learn Research Methods -- ""Research Methods & Experimental Design"""
348,Research & Development,0.97,HIGH,61,ML Engineer,"Docker, Statistics",4,"Learn Docker -- ""Containerization Fundamentals with Docker"""
349,Human Resources,0.84,LOW,63,Software Engineer,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
350,Human Resources,0.97,HIGH,71,Sales Executive,"CRM Tools, Communication, Negotiation",4,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
351,IT,0.95,HIGH,76,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
352,Research & Development,0.185,LOW,80,Research Scientist,"Python, Research Methods",4,"Learn Python -- ""Python for Data & ML Practitioners"""
353,Sales,0.895,MEDIUM,49,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
354,Research & Development,0.93,MEDIUM,59,ML Engineer,"Docker, MLOps",3,"Learn Docker -- ""Containerization Fundamentals with Docker"""
355,IT,0.975,HIGH,41,ML Engineer,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
356,Human Resources,0.94,MEDIUM,68,HR Executive,"Excel, Workday",3,"Learn Workday -- ""Workday HCM Fundamentals"""
357,IT,0.965,HIGH,71,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
358,Sales,0.935,MEDIUM,67,MLOps Engineer,(none),0,No critical skill gaps -- keep up ongoing development
359,IT,0.815,LOW,73,HR Executive,"Communication, Workday",3,"Learn Workday -- ""Workday HCM Fundamentals"""
360,IT,0.965,HIGH,51,MLOps Engineer,"Kubernetes, MLOps, Terraform",5,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
361,Sales,0.65,LOW,58,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
362,Sales,0.965,HIGH,70,ML Engineer,"Docker, Machine Learning, Statistics",5,"Learn Docker -- ""Containerization Fundamentals with Docker"""
363,Sales,0.89,MEDIUM,83,Software Engineer,Kubernetes,2,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
364,Sales,0.965,HIGH,72,Sales Executive,Negotiation,2,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
365,Sales,0.93,MEDIUM,47,Software Engineer,Java,1,"Learn Java -- ""Java for Backend Engineers"""
366,Human Resources,0.965,HIGH,65,ML Engineer,Python,1,"Learn Python -- ""Python for Data & ML Practitioners"""
367,Research & Development,0.83,LOW,61,Data Analyst,Data Visualization,1,"Learn Data Visualization -- ""Storytelling with Data Visualization"""
368,IT,0.21,LOW,82,ML Engineer,"Machine Learning, Statistics",3,"Learn Statistics -- ""Applied Statistics for Business"""
369,IT,0.905,MEDIUM,62,ML Engineer,"AWS, Docker, MLOps, Machine Learning, PyTorch, Statistics",8,"Learn Docker -- ""Containerization Fundamentals with Docker"""
370,Research & Development,0.965,HIGH,50,ML Engineer,"Docker, Machine Learning, Python",4,"Learn Docker -- ""Containerization Fundamentals with Docker"""
371,Research & Development,0.945,HIGH,58,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
372,Sales,0.99,HIGH,73,ML Engineer,"AWS, Docker, PyTorch",4,"Learn Docker -- ""Containerization Fundamentals with Docker"""
373,Sales,0.2,LOW,78,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
374,Human Resources,0.92,MEDIUM,48,Sales Executive,"Negotiation, Salesforce",4,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
375,Research & Development,0.28,LOW,65,Sales Executive,"Negotiation, Salesforce",4,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
376,IT,0.075,LOW,59,Software Engineer,AWS,1,"Learn AWS -- ""Cloud Infrastructure on AWS"""
377,Research & Development,0.945,HIGH,91,MLOps Engineer,"AWS, Docker, Kubernetes, MLOps",7,"Learn Docker -- ""Containerization Fundamentals with Docker"""
378,Sales,0.975,HIGH,37,ML Engineer,Python,1,"Learn Python -- ""Python for Data & ML Practitioners"""
379,IT,0.11,LOW,71,Research Scientist,"Python, Research Methods, Statistics",6,"Learn Python -- ""Python for Data & ML Practitioners"""
380,Sales,0.285,LOW,57,HR Executive,"Conflict Resolution, Workday",3,"Learn Workday -- ""Workday HCM Fundamentals"""
381,Research & Development,0.96,HIGH,77,Data Analyst,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
382,Human Resources,0.815,LOW,86,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
383,Research & Development,0.935,MEDIUM,88,Software Engineer,"AWS, Docker, Kubernetes, Python",6,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
384,IT,0.945,HIGH,34,HR Executive,Communication,1,"Learn Communication -- ""Effective Workplace Communication"""
385,Research & Development,0.745,LOW,81,HR Executive,Excel,1,"Learn Excel -- ""Advanced Excel for Business Analytics"""
386,Sales,0.945,HIGH,75,HR Executive,Communication,1,"Learn Communication -- ""Effective Workplace Communication"""
387,IT,0.945,HIGH,61,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
388,IT,0.39,LOW,75,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
389,Sales,0.985,HIGH,85,Data Analyst,SQL,1,"Learn SQL -- ""Practical SQL for Analysts"""
390,Sales,0.95,HIGH,46,Data Analyst,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
391,IT,0.96,HIGH,63,Research Scientist,"AWS, Python",3,"Learn Python -- ""Python for Data & ML Practitioners"""
392,Sales,0.125,LOW,81,Software Engineer,"Java, Kubernetes, System Design",5,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
393,Sales,0.93,MEDIUM,75,MLOps Engineer,Docker,2,"Learn Docker -- ""Containerization Fundamentals with Docker"""
394,IT,0.89,MEDIUM,88,Sales Executive,"Communication, Excel",2,"Learn Communication -- ""Effective Workplace Communication"""
395,IT,0.215,LOW,54,Research Scientist,"AWS, Python",3,"Learn Python -- ""Python for Data & ML Practitioners"""
396,IT,0.765,LOW,61,MLOps Engineer,(none),0,No critical skill gaps -- keep up ongoing development
397,Human Resources,0.86,LOW,68,Data Analyst,"Excel, Tableau",3,"Learn Excel -- ""Advanced Excel for Business Analytics"""
398,IT,0.95,HIGH,64,Software Engineer,"AWS, Java, Kubernetes, Python, System Design",8,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
399,Human Resources,0.99,HIGH,76,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
400,IT,0.725,LOW,67,HR Executive,Workday,2,"Learn Workday -- ""Workday HCM Fundamentals"""
401,Sales,0.76,LOW,66,Research Scientist,"Python, Statistics",4,"Learn Python -- ""Python for Data & ML Practitioners"""
402,Human Resources,0.965,HIGH,53,Software Engineer,"AWS, Docker, Kubernetes, Python",6,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
403,Research & Development,0.75,LOW,65,Research Scientist,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
404,Sales,0.9,MEDIUM,43,ML Engineer,"Docker, Python",3,"Learn Docker -- ""Containerization Fundamentals with Docker"""
405,Research & Development,0.875,LOW,37,ML Engineer,"AWS, PyTorch",2,"Learn AWS -- ""Cloud Infrastructure on AWS"""
406,Sales,0.48,LOW,60,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
407,IT,0.095,LOW,59,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
408,Research & Development,0.99,HIGH,58,Software Engineer,AWS,1,"Learn AWS -- ""Cloud Infrastructure on AWS"""
409,Research & Development,0.905,MEDIUM,84,Software Engineer,"AWS, Docker, Kubernetes, Python",6,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
410,IT,0.855,LOW,72,Data Analyst,"Excel, SQL, Statistics",5,"Learn Excel -- ""Advanced Excel for Business Analytics"""
411,IT,0.96,HIGH,68,Software Engineer,Kubernetes,2,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
412,Research & Development,0.585,LOW,76,Sales Executive,Salesforce,2,"Learn Salesforce -- ""Salesforce Administration Essentials"""
413,Research & Development,0.925,MEDIUM,30,Sales Executive,Negotiation,2,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
414,IT,0.905,MEDIUM,77,HR Executive,"Communication, Excel",2,"Learn Communication -- ""Effective Workplace Communication"""
415,IT,0.865,LOW,92,ML Engineer,Machine Learning,1,"Learn Machine Learning -- ""Machine Learning Foundations"""
416,Sales,0.095,LOW,78,ML Engineer,Docker,2,"Learn Docker -- ""Containerization Fundamentals with Docker"""
417,Human Resources,0.78,LOW,65,MLOps Engineer,(none),0,No critical skill gaps -- keep up ongoing development
418,Research & Development,0.905,MEDIUM,93,HR Executive,"Communication, HR Compliance, Workday",4,"Learn Workday -- ""Workday HCM Fundamentals"""
419,Human Resources,0.965,HIGH,76,HR Executive,"Communication, HR Compliance, Workday",4,"Learn Workday -- ""Workday HCM Fundamentals"""
420,Human Resources,0.82,LOW,50,Data Analyst,"Data Visualization, Statistics",3,"Learn Statistics -- ""Applied Statistics for Business"""
421,Sales,0.89,MEDIUM,55,Sales Executive,"CRM Tools, Negotiation, Salesforce",5,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
422,Sales,0.315,LOW,61,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
423,IT,0.845,LOW,93,Research Scientist,"AWS, Statistics",3,"Learn Statistics -- ""Applied Statistics for Business"""
424,Research & Development,0.95,HIGH,81,Research Scientist,"Python, Statistics",4,"Learn Python -- ""Python for Data & ML Practitioners"""
425,Sales,0.925,MEDIUM,74,HR Executive,"Excel, Workday",3,"Learn Workday -- ""Workday HCM Fundamentals"""
426,Research & Development,0.91,MEDIUM,80,HR Executive,Workday,2,"Learn Workday -- ""Workday HCM Fundamentals"""
427,Research & Development,0.8,LOW,72,ML Engineer,"Docker, Machine Learning",3,"Learn Docker -- ""Containerization Fundamentals with Docker"""
428,Human Resources,0.895,MEDIUM,62,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
429,Human Resources,0.945,HIGH,76,MLOps Engineer,"Cloud, MLOps, Terraform",4,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
430,IT,0.95,HIGH,64,HR Executive,"Conflict Resolution, Workday",3,"Learn Workday -- ""Workday HCM Fundamentals"""
431,Sales,0.3,LOW,48,Data Analyst,Excel,2,"Learn Excel -- ""Advanced Excel for Business Analytics"""
432,Research & Development,0.94,MEDIUM,88,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
433,Research & Development,0.835,LOW,31,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
434,Sales,0.87,LOW,76,HR Executive,Communication,1,"Learn Communication -- ""Effective Workplace Communication"""
435,Sales,0.995,HIGH,67,Software Engineer,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
436,Sales,0.15,LOW,90,Research Scientist,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
437,Research & Development,0.825,LOW,86,HR Executive,Excel,1,"Learn Excel -- ""Advanced Excel for Business Analytics"""
438,IT,0.155,LOW,43,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
439,Research & Development,0.825,LOW,63,ML Engineer,Docker,2,"Learn Docker -- ""Containerization Fundamentals with Docker"""
440,Research & Development,0.935,MEDIUM,52,Software Engineer,"Kubernetes, Python",4,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
441,IT,0.95,HIGH,55,MLOps Engineer,"CI/CD, Cloud, Docker",4,"Learn Docker -- ""Containerization Fundamentals with Docker"""
442,Research & Development,0.89,MEDIUM,63,Software Engineer,"AWS, Python",3,"Learn Python -- ""Python for Data & ML Practitioners"""
443,IT,0.865,LOW,50,MLOps Engineer,"CI/CD, Terraform",2,"Learn CI/CD -- ""CI/CD Pipelines for Engineers"""
444,IT,0.89,MEDIUM,64,Data Analyst,Excel,2,"Learn Excel -- ""Advanced Excel for Business Analytics"""
445,IT,0.775,LOW,73,Sales Executive,"Communication, Excel",2,"Learn Communication -- ""Effective Workplace Communication"""
446,Sales,0.92,MEDIUM,69,ML Engineer,Python,1,"Learn Python -- ""Python for Data & ML Practitioners"""
447,IT,0.89,MEDIUM,81,Research Scientist,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
448,Human Resources,0.95,HIGH,97,Research Scientist,Research Methods,2,"Learn Research Methods -- ""Research Methods & Experimental Design"""
449,IT,0.88,LOW,68,MLOps Engineer,"AWS, MLOps",3,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
450,IT,0.99,HIGH,62,Data Analyst,"Data Visualization, Excel, Tableau",4,"Learn Excel -- ""Advanced Excel for Business Analytics"""
451,Research & Development,0.75,LOW,59,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
452,IT,0.94,MEDIUM,66,Data Analyst,"Excel, SQL, Statistics, Tableau",6,"Learn Excel -- ""Advanced Excel for Business Analytics"""
453,Sales,0.89,MEDIUM,81,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
454,Sales,0.435,LOW,74,Data Analyst,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
455,Research & Development,0.965,HIGH,70,ML Engineer,"Docker, PyTorch",3,"Learn Docker -- ""Containerization Fundamentals with Docker"""
456,IT,0.15,LOW,67,Sales Executive,"Communication, Excel",2,"Learn Communication -- ""Effective Workplace Communication"""
457,Research & Development,0.91,MEDIUM,85,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
